,Velocity
126,-1202.0509413219934
127,-1199.4336205253014
128,-1196.8163224877096
129,-1194.1990472090438
130,-1191.581794689094
131,-1188.964564927651
132,-1186.3473579245394
133,-1183.7301736795505
134,-1181.1130121924743
135,-1178.495873463136
136,-1175.878757491326
137,-1173.26166427687
138,-1170.6445938195234
139,-1168.0275461191113
140,-1165.4105211754595
141,-1162.7935189883228
142,-1160.1765395575273
143,-1157.5595828828982
144,-1154.9426489642256
145,-1152.3257378013002
146,-1149.7088493939125
147,-1147.0919837418878
148,-1144.4751408450165
149,-1141.8583207030892
150,-1139.2415233159313
151,-1136.6247486833333
152,-1134.0079968050854
153,-1131.3912676810132
154,-1128.7745613109073
155,-1126.157877694593
156,-1123.5412168318257
157,-1120.924578722431
158,-1118.3079633662344
159,-1115.691370763026
160,-1113.0748009125969
161,-1110.4582538147372
162,-1107.8417294692724
163,-1105.225227875993
164,-1102.6087490346897
165,-1099.9922929451877
166,-1097.3758596072776
167,-1094.75944902075
168,-1092.1430611854303
169,-1089.526696101109
170,-1086.910353767612
171,-1084.294034184694
172,-1081.677737352181
173,-1079.0614632698987
174,-1076.4452119376374
175,-1073.8289833551878
176,-1071.21277752234
177,-1068.5965944389202
178,-1065.9804341047184
179,-1063.3642965195254
180,-1060.7481816831664
181,-1058.1320895954325
182,-1055.516020256114
183,-1052.8999736650362
184,-1050.28394982199
185,-1047.667948726801
186,-1045.0519703792243
187,-1042.436014779086
188,-1039.8200819262115
189,-1037.2041718203564
190,-1034.5882844613461
191,-1031.9724198490064
192,-1029.3565779831276
193,-1026.7407588635006
194,-1024.124962489916
195,-1021.5091888621992
196,-1018.8934379801408
197,-1016.2777098435316
198,-1013.662004452197
199,-1011.046321805928
200,-1008.4306619045146
201,-1005.8150247477829
202,-1003.1994103355233
203,-1000.5838186675267
204,-997.9682497436183
205,-995.3527035635892
206,-992.7371801272296
207,-990.1216794343654
208,-987.5062014847872
209,-984.8907462782857
210,-982.2753138146865
211,-979.65990409378
212,-977.0445171153573
213,-974.4291528792438
214,-971.8138113852301
215,-969.1984926331072
216,-966.5831966227005
217,-963.9679233538006
218,-961.3526728261984
219,-958.7374450397195
220,-956.1222399941546
221,-953.5070576892944
222,-950.8918981249643
223,-948.2767613009554
224,-945.6616472170582
225,-943.0465558730986
226,-940.4314872688669
227,-937.8164414041543
228,-935.201418278786
229,-932.5864178925532
230,-929.9714402452464
231,-927.3564853366912
232,-924.7415531666785
233,-922.1266437349991
234,-919.5117570414437
235,-916.8968930858379
236,-914.2820518680073
237,-911.667233387708
238,-909.0524376447656
239,-906.4376646389709
240,-903.8229143701495
241,-901.2081868380923
242,-898.5934820425899
243,-895.9787999834682
244,-893.3641406605179
245,-890.7495040735298
246,-888.1348902222949
247,-885.5202991066387
248,-882.9057307263869
249,-880.2911850812955
250,-877.6766621711902
251,-875.0621619958619
252,-872.4476845551362
253,-869.833229848804
254,-867.2187978766561
255,-864.6043886384834
256,-861.9900021341116
257,-859.3756383633315
258,-856.7612973259689
259,-854.1469790218148
260,-851.5326834506598
261,-848.9184106122948
262,-846.3041605065456
263,-843.6899331332032
264,-841.0757284920934
265,-838.4615465830067
266,-835.8473874057343
267,-833.2332509600669
268,-830.6191372458304
269,-828.0050462628158
270,-825.3909780108486
271,-822.776932489685
272,-820.1629096991506
273,-817.5489096390717
274,-814.9349323092384
275,-812.3209777094423
276,-809.7070458394741
277,-807.0931366991595
278,-804.4792502882894
279,-801.865386606655
280,-799.2515456540817
281,-796.6377274303609
282,-794.0239319352831
283,-791.4101591686746
284,-788.7964091303257
285,-786.1826818200628
286,-783.5689772376419
287,-780.9552953828886
288,-778.3416362556287
289,-775.7279998556186
290,-773.1143861826839
291,-770.5007952366504
292,-767.8872270172744
293,-765.2736815243818
294,-762.6601587577982
295,-760.0466587172798
296,-757.4331814026525
297,-754.8197268137073
298,-752.2062949502701
299,-749.5928858121317
300,-746.9794993990835
301,-744.366135710951
302,-741.7527947475252
303,-739.1394765085975
304,-736.5261809939932
305,-733.9129082035039
306,-731.2996581369204
307,-728.6864307940336
308,-726.0732261746696
309,-723.4600442786193
310,-720.8468851057086
311,-718.2337486557286
312,-715.6206349284704
313,-713.0075439237249
314,-710.3944756413183
315,-707.7814300810413
316,-705.1684072427199
317,-702.5554071261454
318,-699.9424297311085
319,-697.3294750574007
320,-694.7165431048477
321,-692.1036338732406
322,-689.4907473624052
323,-686.877883572098
324,-684.2650425021795
325,-681.6522241524062
326,-679.039428522604
327,-676.426655612564
328,-673.8139054220771
329,-671.2011779509696
330,-668.5884731990324
331,-665.9757911660564
332,-663.363131851868
333,-660.7504952562582
334,-658.1378813790182
335,-655.5252902199735
336,-652.912721778916
337,-650.300176055636
338,-647.6876530499602
339,-645.0751527616793
340,-642.4626751905847
341,-639.8502203365023
342,-637.2377881992231
343,-634.6253787785386
344,-632.0129920742744
345,-629.4006280861872
346,-626.7882868141378
347,-624.1759682578822
348,-621.5636724172468
349,-618.9513992920225
350,-616.3391488820356
351,-613.7269211870771
352,-611.1147162069382
353,-608.5025339414101
354,-605.8903743903189
355,-603.2782375534558
356,-600.6661234306467
357,-598.054032021683
358,-595.4419633263559
359,-592.8299173444565
360,-590.2178940758108
361,-587.6058935202102
362,-584.9939156774807
363,-582.3819605473788
364,-579.7700281297302
365,-577.1581184243614
366,-574.5462314310287
367,-571.9343671495579
368,-569.3225255797755
369,-566.7107067214725
370,-564.0989105744402
371,-561.4871371384697
372,-558.8753864133874
373,-556.2636583989497
374,-553.6519530950173
375,-551.0402705013468
376,-548.4286106177642
377,-545.8169734440958
378,-543.2053589800978
379,-540.5937672255966
380,-537.9821981803833
381,-535.370651844284
382,-532.7591282170902
383,-530.147627298593
384,-527.5361490885838
385,-524.9246935868887
386,-522.3132607933338
387,-519.7018507076757
388,-517.0904633297404
389,-514.4790986593193
390,-511.86775669620397
391,-509.25643744022017
392,-506.6451408911594
393,-504.0338670488478
394,-501.42261591304197
395,-498.8113874836028
396,-496.20018176028674
397,-493.58899874292024
398,-490.9778384312944
399,-488.3667008252007
400,-485.75558592446527
401,-483.14449372887947
402,-480.5334242382348
403,-477.92237745235724
404,-475.3113533710383
405,-472.7003519940694
406,-470.08937332124185
407,-467.4784173523818
408,-464.86748408731563
409,-462.2565735257998
410,-459.6456856676605
411,-457.0348205126892
412,-454.42397806071205
413,-451.81315831152045
414,-449.20236126490596
415,-446.59158692065984
416,-443.9808352786085
417,-441.3701063385431
418,-438.75940010029007
419,-436.14871656364085
420,-433.5380557283867
421,-430.9274175943193
422,-428.3168021612647
423,-425.7062094290145
424,-423.09563939736006
425,-420.4850920661276
426,-417.8745674351087
427,-415.2640655040947
428,-412.6535862729119
429,-410.0431297413519
430,-407.43269590920596
431,-404.8222847763004
432,-402.2118963424269
433,-399.6015306073767
434,-396.9911875709762
435,-394.38086723301683
436,-391.77056959329013
437,-389.1602946515877
438,-386.55004240773565
439,-383.93981286152564
440,-381.32960601278387
441,-378.7194218613018
442,-376.10926040687104
443,-373.49912164928315
444,-370.8890055883644
445,-368.2789122239063
446,-365.6688415557351
447,-363.0587935836077
448,-360.44876830735035
449,-357.83876572678935
450,-355.22878584168154
451,-352.61882865185316
452,-350.0088941571305
453,-347.3989823572706
454,-344.78909325209946
455,-342.1792268414437
456,-339.5693831250599
457,-336.95956210277456
458,-334.34976377437926
459,-331.73998813970024
460,-329.13023519852914
461,-326.52050495065754
462,-323.91079739591186
463,-321.3011125340488
464,-318.6914503649296
465,-316.0818108883111
466,-313.47219410401965
467,-310.8626000118468
468,-308.2530286115842
469,-305.64347990305833
470,-303.03395388606066
471,-300.4244505604177
472,-297.8149699258862
473,-295.20551198229265
